Time,ZN_OFFICES_A1::Des Heat Load [W],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A1::Des Heat Mass Flow [kg/s],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_A2::Des Heat Load [W],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A2::Des Heat Mass Flow [kg/s],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_A::Des Heat Load [W],ZN_CLASSROOM_A::Des Sens Cool Load [W],ZN_CLASSROOM_A::Des Heat Mass Flow [kg/s],ZN_CLASSROOM_A::Des Cool Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_CLASSROOM_B::Des Sens Cool Load [W],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_CLASSROOM_B::Des Cool Mass Flow [kg/s]
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.172444E+04,0.000000E+00,2.873392E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.873830E+03,0.000000E+00,2.420087E-01,0.000000E+00,3.781766E+03,0.000000E+00,9.267800E-02,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.174927E+04,0.000000E+00,2.879475E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.893730E+03,0.000000E+00,2.424964E-01,0.000000E+00,3.782039E+03,0.000000E+00,9.268468E-02,0.000000E+00
06:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.844753E+03,7.752696E+02,2.412910E-01,4.488051E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.290511E+03,0.000000E+00,2.032137E-01,0.000000E+00,3.171138E+03,0.000000E+00,7.772016E-02,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.931748E+03,2.118111E+03,1.944313E-01,1.223450E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.677603E+03,5.777820E+02,1.636969E-01,3.342242E-02,2.558309E+03,0.000000E+00,6.271000E-02,0.000000E+00
07:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.473383E+03,0.000000E+00,1.820096E-01,7.951714E+03,3.517040E+03,1.949334E-01,2.027917E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.689761E+03,1.953122E+03,1.640025E-01,1.127530E-01,2.558811E+03,0.000000E+00,6.272699E-02,0.000000E+00
08:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.029709E+03,0.000000E+00,3.747808E-01,7.973606E+03,4.947321E+03,1.954769E-01,2.851797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.705953E+03,3.385572E+03,1.644032E-01,1.952154E-01,2.559825E+03,0.000000E+00,6.275447E-02,0.000000E+00
08:30:00,0.000000E+00,4.554392E+03,0.000000E+00,3.196055E-01,0.000000E+00,8.170088E+03,0.000000E+00,6.159571E-01,6.126000E+03,1.588692E+04,1.501817E-01,1.041473E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.156337E+03,1.525819E+04,1.264127E-01,9.641780E-01,2.014064E+03,0.000000E+00,4.937496E-02,0.000000E+00
09:00:00,0.000000E+00,8.690579E+03,0.000000E+00,6.322025E-01,0.000000E+00,1.155436E+04,0.000000E+00,8.711029E-01,4.233843E+03,2.523629E+04,1.037950E-01,1.795760E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.568429E+03,2.312776E+04,8.748369E-02,1.596081E+00,1.468897E+03,0.000000E+00,3.601021E-02,0.000000E+00
09:30:00,0.000000E+00,1.102675E+04,0.000000E+00,8.322293E-01,0.000000E+00,1.389270E+04,0.000000E+00,1.047642E+00,2.097397E+03,2.642263E+04,5.141864E-02,1.992516E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.767076E+03,2.147222E+04,4.332156E-02,1.621981E+00,1.469494E+03,0.000000E+00,3.602544E-02,0.000000E+00
10:00:00,0.000000E+00,1.386567E+04,0.000000E+00,1.045608E+00,0.000000E+00,1.622561E+04,0.000000E+00,1.223733E+00,0.000000E+00,2.855003E+04,0.000000E+00,2.152858E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.323490E+04,0.000000E+00,1.752008E+00,1.469900E+03,0.000000E+00,3.603586E-02,0.000000E+00
